location.latitude,location.longitude,name,power,type,stalls,country
48.393734,11.070536,"Tesla Supercharger Dasing, Germany - Bauernmarkt",250,SITE_TYPE_SUPERCHARGER,16,Germany
41.313192,-2.002201,"Tesla Supercharger Ariza, Spain",150,SITE_TYPE_SUPERCHARGER,6,Spain
45.152424,0.789938,"Tesla Supercharger Périgueux, France",250,SITE_TYPE_SUPERCHARGER,8,France
45.954138,8.950789,"Tesla Supercharger Melide, Switzerland",125,SITE_TYPE_SUPERCHARGER,10,Switzerland
43.436817,11.77957,"Tesla Supercharger Arezzo, Italy",250,SITE_TYPE_SUPERCHARGER,24,Italy
51.495032,7.284958,"Tesla Supercharger Bochum, Germany - Ruhr Park",250,SITE_TYPE_SUPERCHARGER,16,Germany
39.006495,-3.38313,"Tesla Supercharger Manzanares, Spain",150,SITE_TYPE_SUPERCHARGER,4,Spain
56.657423,12.907257,"Tesla Supercharger Halmstad, Sweden",250,SITE_TYPE_SUPERCHARGER,28,Sweden
51.370996,9.633307,"Tesla Supercharger Lutterberg, Germany",150,SITE_TYPE_SUPERCHARGER,16,Germany
47.017422,4.837768,"Tesla Supercharger Beaune, France",150,SITE_TYPE_SUPERCHARGER,12,France
48.999043,8.428747,"Tesla Supercharger Karlsruhe, Germany",250,SITE_TYPE_SUPERCHARGER,11,Germany
44.04068,12.589221,"Tesla Supercharger Rimini, Italy",250,SITE_TYPE_SUPERCHARGER,8,Italy
45.884158,13.344976,"Tesla Supercharger Palmanova, Italy",250,SITE_TYPE_SUPERCHARGER,16,Italy
46.515263,8.67061,"Tesla Supercharger Quinto, Switzerland",125,SITE_TYPE_SUPERCHARGER,10,Switzerland
42.31227892,-3.70417222,"Tesla Supercharger Burgos, Spain",150,SITE_TYPE_SUPERCHARGER,6,Spain
50.88771,4.453051,"Tesla Supercharger Machelen, Belgium",70,SITE_TYPE_SUPERCHARGER,8,Belgium
48.811357,11.479807,"Tesla Supercharger Kösching, Germany",250,SITE_TYPE_SUPERCHARGER,20,Germany
49.252931,3.975959,"Tesla Supercharger Reims, France - Tinqueux",250,SITE_TYPE_SUPERCHARGER,16,France
48.784078,2.220945,"Tesla Supercharger Vélizy 2, France",250,SITE_TYPE_SUPERCHARGER,16,France
